"CHR","geneID","start","end","annotation"
5,"Sevir.5G075200",6036056,6036547,"No gene description."
5,"Sevir.5G079100",6339146,6342748,"(1 of 2) PTHR20961//PTHR20961:SF28 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G080200",6408913,6409617,"No gene description."
5,"Sevir.5G085300",6829932,6832531,"(1 of 2) PTHR20961//PTHR20961:SF22 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G083000",6629816,6630997,"(1 of 4) PTHR10315//PTHR10315:SF46 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G082100",6560647,6563033,"(1 of 1) PTHR10315//PTHR10315:SF30 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G075950",6055714,6056699,"No gene description."
5,"Sevir.5G087100",6992244,6997813,"(1 of 1) 3.2.1.177//3.2.1.37//3.2.1.55 - Alpha-D-xyloside xylohydrolase / Alpha-xylosidase // Xylan 1,4-beta-xylosidase / Xylobiase // Non-reducing end alpha-L-arabinofuranosidase / Arabinosidase"
5,"Sevir.5G095700",7777209,7781511,"(1 of 1) PTHR31412//PTHR31412:SF5 - FAMILY NOT NAMED // ZINC METALLOPROTEASE EGY2, CHLOROPLASTIC-RELATED"
5,"Sevir.5G079900",6397005,6399544,"(1 of 1) PTHR20961//PTHR20961:SF20 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G090850",7380615,7380992,"No gene description."
5,"Sevir.5G091200",7396975,7397856,"(1 of 7) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G082800",6614913,6617292,"(1 of 10) K04506 - E3 ubiquitin-protein ligase SIAH1 (SIAH1)"
5,"Sevir.5G082500",6598781,6600787,"(1 of 3) PTHR10315//PTHR10315:SF33 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G078700",6322979,6325943,"(1 of 2) PTHR20961//PTHR20961:SF11 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G092700",7479471,7481838,"No gene description."
5,"Sevir.5G092900",7505470,7517091,"(1 of 4) PF00069//PF13947//PF14380 - Protein kinase domain (Pkinase) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G080600",6423026,6425716,"No gene description."
5,"Sevir.5G094000",7597962,7599518,"(1 of 1) PTHR10994//PTHR10994:SF74 - RETICULON // SUBFAMILY NOT NAMED"
5,"Sevir.5G075400",6039306,6040083,"No gene description."
5,"Sevir.5G075100",6035177,6035542,"No gene description."
5,"Sevir.5G093100",7525387,7526272,"No gene description."
5,"Sevir.5G079000",6334225,6337983,"(1 of 1) PTHR20961//PTHR20961:SF16 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G091050",7386256,7387032,"No gene description."
5,"Sevir.5G083100",6632670,6634045,"(1 of 4) PTHR10315//PTHR10315:SF46 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G087350",7031659,7032657,"No gene description."
5,"Sevir.5G090300",7338533,7340224,"(1 of 19) 3.2.1.8 - Endo-1,4-beta-xylanase"
5,"Sevir.5G081500",6469824,6474080,"(1 of 1) PTHR23012//PTHR23012:SF89 - MEMBRANE ASSOCIATED RING FINGER // SUBFAMILY NOT NAMED"
5,"Sevir.5G093532",7562957,7564328,"(1 of 24) K04730 - interleukin-1 receptor-associated kinase 1 (IRAK1)"
5,"Sevir.5G088500",7139302,7143485,"(1 of 1) K15139 - mediator of RNA polymerase II transcription subunit 22 (MED22)"
5,"Sevir.5G074000",5948273,5953359,"(1 of 2) PTHR15323//PTHR15323:SF6 - D123 PROTEIN // CELL DIVISION CYCLE PROTEIN 123 HOMOLOG"
5,"Sevir.5G080800",6433094,6434238,"No gene description."
5,"Sevir.5G076800",6098450,6100962,"(1 of 1) PF00069//PF00314 - Protein kinase domain (Pkinase) // Thaumatin family (Thaumatin)"
5,"Sevir.5G093700",7573495,7576841,"(1 of 10) PF05623 - Protein of unknown function (DUF789) (DUF789)"
5,"Sevir.5G084200",6739114,6740746,"(1 of 30) 1.14.13.121 - Premnaspirodiene oxygenase / Hyoscymus muticus premnaspirodiene oxygenase"
5,"Sevir.5G081700",6522104,6523708,"No gene description."
5,"Sevir.5G080100",6408188,6412430,"(1 of 1) PTHR11777:SF7 - THREONYL AND ALANYL TRNA SYNTHETASE SECOND ADDITIONAL DOMAIN-CONTAINING PROTEIN"
5,"Sevir.5G088800",7166114,7170628,"(1 of 1) PTHR17224:SF3 - CHLOROPLASTIC GROUP IIB INTRON SPLICING FACILITATOR CRS2-A, CHLOROPLASTIC-RELATED"
5,"Sevir.5G073233",5899190,5899534,"No gene description."
5,"Sevir.5G084900",6797549,6798653,"(1 of 10) PF00228 - Bowman-Birk serine protease inhibitor family (Bowman-Birk_leg)"
5,"Sevir.5G095400",7752012,7756498,"(1 of 1) K10140 - DNA damage-binding protein 2 (DDB2)"
5,"Sevir.5G084500",6758453,6760608,"(1 of 1) PTHR11709//PTHR11709:SF117 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G089000",7177472,7179965,"No gene description."
5,"Sevir.5G081800",6534167,6535371,"No gene description."
5,"Sevir.5G082000",6553372,6559508,"(1 of 1) PTHR19297//PTHR19297:SF70 - GLYCOSYLTRANSFERASE 14 FAMILY MEMBER // SUBFAMILY NOT NAMED"
5,"Sevir.5G093050",7511386,7512153,"No gene description."
5,"Sevir.5G085900",6896986,6905428,"(1 of 1) PTHR10774:SF1 - C2 DOMAIN-CONTAINING PROTEIN"
5,"Sevir.5G087900",7117587,7118823,"No gene description."
5,"Sevir.5G086800",6956278,6960943,"No gene description."
5,"Sevir.5G094800",7673429,7674312,"(1 of 1) K02898 - large subunit ribosomal protein L26e (RP-L26e, RPL26)"
5,"Sevir.5G073400",5924847,5925644,"(1 of 2) PTHR31080//PTHR31080:SF18 - FAMILY NOT NAMED // CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 1-RELATED"
5,"Sevir.5G078400",6283555,6290497,"(1 of 1) PTHR15362//PTHR15362:SF11 - PHOSPHATIDYLINOSITOL SYNTHASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G094700",7665869,7672902,"(1 of 1) PTHR27003//PTHR27003:SF5 - FAMILY NOT NAMED // DI-GLUCOSE BINDING PROTEIN WITH LEUCINE-RICH REPEAT DOMAIN"
5,"Sevir.5G088300",7132490,7134695,"(1 of 10) PF07797 - Protein of unknown function (DUF1639) (DUF1639)"
5,"Sevir.5G075700",6048631,6048894,"No gene description."
5,"Sevir.5G077700",6221574,6225567,"(1 of 1) 3.1.4.17 - 3',5'-cyclic-nucleotide phosphodiesterase / Cyclic AMP phosphodiesterase"
5,"Sevir.5G076600",6084256,6088001,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G081200",6452952,6460086,"(1 of 1) K03254 - translation initiation factor 3 subunit A (EIF3A)"
5,"Sevir.5G074500",5979684,5983021,"(1 of 26) 3.6.5.5 - Dynamin GTPase"
5,"Sevir.5G092400",7467367,7476192,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G081600",6478182,6483259,"No gene description."
5,"Sevir.5G081833",6543841,6545708,"No gene description."
5,"Sevir.5G078500",6291276,6293706,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G094600",7660891,7661746,"No gene description."
5,"Sevir.5G081100",6448000,6450342,"(1 of 8) 1.2.1.12 - Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) / Triosephosphate dehydrogenase"
5,"Sevir.5G082700",6610298,6611470,"(1 of 4) PTHR10315//PTHR10315:SF46 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G077900",6236012,6243783,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G078600",6303660,6307203,"(1 of 1) PTHR20961//PTHR20961:SF17 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G079500",6364680,6367155,"(1 of 4) PTHR20961//PTHR20961:SF13 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G087200",7007187,7008265,"No gene description."
5,"Sevir.5G084400",6752431,6758314,"(1 of 6) PTHR21596//PTHR21596:SF26 - RIBONUCLEASE P SUBUNIT P38 // SUBFAMILY NOT NAMED"
5,"Sevir.5G092301",7458708,7459674,"No gene description."
5,"Sevir.5G074300",5971435,5972686,"No gene description."
5,"Sevir.5G088401",7137914,7138841,"No gene description."
5,"Sevir.5G072900",5860036,5866776,"(1 of 1) PTHR30523//PTHR30523:SF6 - PHOSPHOENOLPYRUVATE CARBOXYLASE // PHOSPHOENOLPYRUVATE CARBOXYLASE 4"
5,"Sevir.5G094100",7608289,7611312,"(1 of 31) PF00564 - PB1 domain (PB1)"
5,"Sevir.5G095000",7721793,7723983,"(1 of 4) K09287 - RAV-like factor (RAV)"
5,"Sevir.5G078300",6262464,6273188,"(1 of 1) PTHR18934:SF112 - DEA(D/H)-BOX RNA HELICASE FAMILY PROTEIN"
5,"Sevir.5G073500",5925451,5927050,"(1 of 1) PTHR11071//PTHR11071:SF244 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE // CYCLOPHILIN-LIKE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FAMILY PROTEIN"
5,"Sevir.5G076500",6081383,6091609,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G088700",7150422,7152430,"No gene description."
5,"Sevir.5G074700",5992807,5996543,"No gene description."
5,"Sevir.5G090600",7369862,7371121,"(1 of 1) PTHR11527//PTHR11527:SF123 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G085000",6800328,6801443,"(1 of 10) PF00228 - Bowman-Birk serine protease inhibitor family (Bowman-Birk_leg)"
5,"Sevir.5G095600",7772259,7777234,"No gene description."
5,"Sevir.5G076000",6059726,6060466,"(1 of 17) PF12854//PF13041 - PPR repeat (PPR_1) // PPR repeat family (PPR_2)"
5,"Sevir.5G075000",6022264,6023432,"No gene description."
5,"Sevir.5G090100",7313654,7316172,"No gene description."
5,"Sevir.5G078650",6311177,6311386,"No gene description."
5,"Sevir.5G073900",5944942,5946932,"(1 of 1) PTHR16223:SF19 - TRANSCRIPTION FACTOR BHLH83-RELATED"
5,"Sevir.5G086100",6914529,6917034,"(1 of 1) PTHR26374//PTHR26374:SF180 - FAMILY NOT NAMED // ZINC FINGER PROTEIN JAGGED-RELATED"
5,"Sevir.5G076701",6088867,6091155,"(1 of 1) PF00314//PF07714 - Thaumatin family (Thaumatin) // Protein tyrosine kinase (Pkinase_Tyr)"
5,"Sevir.5G095500",7760302,7760839,"No gene description."
5,"Sevir.5G096000",7807814,7808560,"(1 of 1) PTHR11514//PTHR11514:SF41 - MYC // SUBFAMILY NOT NAMED"
5,"Sevir.5G089700",7281617,7284726,"(1 of 11) PF00560//PF07714//PF08263 - Leucine Rich Repeat (LRR_1) // Protein tyrosine kinase (Pkinase_Tyr) // Leucine rich repeat N-terminal domain (LRRNT_2)"
5,"Sevir.5G086200",6920706,6921174,"No gene description."
5,"Sevir.5G095800",7781605,7783958,"(1 of 1) K15901 - EKC/KEOPS complex subunit CGI121/TPRKB (CGI121, TPRKB)"
5,"Sevir.5G076751",6088866,6091155,"(1 of 1416) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase"
5,"Sevir.5G076650",6087587,6087847,"No gene description."
5,"Sevir.5G088900",7173448,7178565,"(1 of 21) PTHR23155//PTHR23155:SF541 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED"
5,"Sevir.5G080300",6412603,6415423,"No gene description."
5,"Sevir.5G077800",6232027,6239877,"(1 of 5) PTHR24326:SF258 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ANTHOCYANINLESS 2-RELATED"
5,"Sevir.5G087600",7066060,7068050,"(1 of 183) PF00847 - AP2 domain (AP2)"
5,"Sevir.5G091901",7418144,7418500,"(1 of 20) PF14380 - Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G078200",6258413,6262152,"(1 of 1) PTHR11627//PTHR11627:SF8 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 3, CHLOROPLASTIC-RELATED"
5,"Sevir.5G079200",6346801,6350063,"(1 of 4) PTHR20961//PTHR20961:SF13 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G080000",6397005,6412430,"(1 of 1) PTHR11946:SF7 - LEUCINE--TRNA LIGASE, MITOCHONDRIAL-RELATED"
5,"Sevir.5G081300",6463667,6464851,"(1 of 1) PTHR33052//PTHR33052:SF22 - FAMILY NOT NAMED // F15H18.19"
5,"Sevir.5G086000",6902079,6902812,"No gene description."
5,"Sevir.5G079400",6361135,6364282,"(1 of 6) PTHR21562//PTHR21562:SF19 - NOTUM-RELATED // SUBFAMILY NOT NAMED"
5,"Sevir.5G092001",7419601,7425560,"(1 of 7) PF13947//PF14380 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G086950",6974021,6975053,"(1 of 4) PF15699 - NPR1 interacting (NPR1_interact)"
5,"Sevir.5G073000",5873755,5877500,"(1 of 1) PTHR27000:SF18 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN"
5,"Sevir.5G086600",6953746,6954656,"No gene description."
5,"Sevir.5G095300",7745231,7751784,"(1 of 6) KOG4249 - Uncharacterized conserved protein"
5,"Sevir.5G087300",7010516,7011470,"No gene description."
5,"Sevir.5G078000",6242686,6246217,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G085350",6837639,6838969,"No gene description."
5,"Sevir.5G091800",7414647,7415648,"(1 of 7) PF13947//PF14380 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G092800",7482255,7489715,"(1 of 4) PF00069//PF13947//PF14380 - Protein kinase domain (Pkinase) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G087750",7074983,7078953,"No gene description."
5,"Sevir.5G093200",7531696,7532817,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G096200",7832370,7836768,"(1 of 3) K06119 - sulfoquinovosyltransferase (SQD2)"
5,"Sevir.5G074900",5999853,6003338,"(1 of 1) PTHR23315//PTHR23315:SF65 - BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING // ARM REPEAT SUPERFAMILY PROTEIN"
5,"Sevir.5G087400",7033352,7034722,"No gene description."
5,"Sevir.5G080900",6436498,6439487,"(1 of 2) PTHR10836//PTHR10836:SF58 - GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G093000",7509317,7510006,"(1 of 117) PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G087500",7041145,7043232,"(1 of 1) PTHR34539//PTHR34539:SF1 - FAMILY NOT NAMED // GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MPE11"
5,"Sevir.5G080700",6427353,6428693,"No gene description."
5,"Sevir.5G077501",6186444,6187142,"No gene description."
5,"Sevir.5G094400",7642690,7643843,"No gene description."
5,"Sevir.5G079600",6368707,6371373,"(1 of 2) K18207 - protein O-mannose beta-1,4-N-acetylglucosaminyltransferase (GTDC2)"
5,"Sevir.5G089200",7234669,7235745,"(1 of 35) PF05553 - Cotton fibre expressed protein (DUF761)"
5,"Sevir.5G076200",6071182,6072854,"No gene description."
5,"Sevir.5G089900",7302056,7306667,"(1 of 1) 1.14.21.6 - Transferred entry: 1.14.19.20"
5,"Sevir.5G073700",5935964,5938793,"(1 of 1) PTHR31964:SF13 - ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN"
5,"Sevir.5G077400",6182079,6186516,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G091300",7398473,7399660,"No gene description."
5,"Sevir.5G088200",7128275,7129722,"No gene description."
5,"Sevir.5G074200",5965336,5968950,"(1 of 3) PF00069//PF07645 - Protein kinase domain (Pkinase) // Calcium-binding EGF domain (EGF_CA)"
5,"Sevir.5G089100",7229872,7234229,"(1 of 1) PTHR21726//PTHR21726:SF35 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED"
5,"Sevir.5G073300",5922357,5923754,"(1 of 6) K10624 - E3 ubiquitin-protein ligase RBBP6 [EC:6.3.2.19] (RBBP6)"
5,"Sevir.5G075500",6042657,6043845,"No gene description."
5,"Sevir.5G088750",7165553,7165726,"No gene description."
5,"Sevir.5G079700",6380714,6384843,"(1 of 2) PTHR20961//PTHR20961:SF22 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G083700",6695079,6698525,"No gene description."
5,"Sevir.5G088600",7145028,7145838,"No gene description."
5,"Sevir.5G084800",6790300,6792494,"(1 of 3) PTHR10366//PTHR10366:SF307 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // TETRAKETIDE ALPHA-PYRONE REDUCTASE 1"
5,"Sevir.5G076933",6143384,6144227,"No gene description."
5,"Sevir.5G087000",6982251,6983282,"No gene description."
5,"Sevir.5G079300",6357439,6359730,"(1 of 4) PTHR20961//PTHR20961:SF13 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G073266",5900742,5900879,"No gene description."
5,"Sevir.5G089600",7261682,7263251,"(1 of 35) PF02485 - Core-2/I-Branching enzyme (Branch)"
5,"Sevir.5G073800",5939005,5942525,"(1 of 1) PTHR23272//PTHR23272:SF21 - BED FINGER-RELATED // BED ZINC FINGER AND HAT DIMERIZATION DOMAIN-CONTAINING PROTEIN"
5,"Sevir.5G095900",7784286,7787645,"No gene description."
5,"Sevir.5G086300",6933742,6937426,"(1 of 1) PTHR10759//PTHR10759:SF6 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED"
5,"Sevir.5G076450",6080492,6081676,"No gene description."
5,"Sevir.5G090800",7379999,7380704,"(1 of 1) PTHR11527//PTHR11527:SF141 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G084700",6786358,6787026,"No gene description."
5,"Sevir.5G084100",6735749,6738531,"(1 of 3) 1.3.3.5 - Bilirubin oxidase"
5,"Sevir.5G090200",7329099,7331886,"(1 of 2) PTHR31713//PTHR31713:SF15 - FAMILY NOT NAMED // PROTEIN SAR DEFICIENT 1"
5,"Sevir.5G078800",6328979,6331416,"(1 of 2) PTHR20961//PTHR20961:SF11 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G085800",6867108,6873803,"(1 of 1) KOG4467 - Uncharacterized conserved protein"
5,"Sevir.5G073101",5883486,5884328,"No gene description."
5,"Sevir.5G094500",7651889,7654597,"(1 of 1) PTHR13683:SF274 - ASPARTYL PROTEASE FAMILY PROTEIN"
5,"Sevir.5G087700",7073859,7077944,"(1 of 1) PTHR12804//PTHR12804:SF2 - MICROSOMAL SIGNAL PEPTIDASE 23 KD SUBUNIT  SPC22/23 // SUBFAMILY NOT NAMED"
5,"Sevir.5G074800",5996544,5998714,"(1 of 1) PTHR19139//PTHR19139:SF182 - AQUAPORIN TRANSPORTER // SUBFAMILY NOT NAMED"
5,"Sevir.5G081000",6445804,6447069,"No gene description."
5,"Sevir.5G093400",7546143,7549938,"(1 of 3) PF07714//PF13947//PF14380 - Protein tyrosine kinase (Pkinase_Tyr) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G091000",7384893,7385627,"(1 of 7) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G090700",7371184,7376114,"(1 of 5) PTHR27009//PTHR27009:SF21 - FAMILY NOT NAMED // PR5-LIKE RECEPTOR KINASE-RELATED"
5,"Sevir.5G076900",6102396,6105699,"(1 of 66) PF01535//PF13041//PF13812 - PPR repeat (PPR) // PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3)"
5,"Sevir.5G080500",6419523,6422680,"(1 of 2) PTHR19370//PTHR19370:SF125 - NADH-CYTOCHROME B5 REDUCTASE // SUBFAMILY NOT NAMED"
5,"Sevir.5G092200",7449353,7451452,"(1 of 1) PF00069//PF14380 - Protein kinase domain (Pkinase) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G075800",6053750,6054612,"No gene description."
5,"Sevir.5G076966",6144314,6145205,"No gene description."
5,"Sevir.5G088100",7124212,7127125,"(1 of 1) K09015 - Fe-S cluster assembly protein SufD (sufD)"
5,"Sevir.5G083200",6638262,6639146,"(1 of 53) PF13912 - C2H2-type zinc finger (zf-C2H2_6)"
5,"Sevir.5G095200",7743492,7745121,"(1 of 2) K12795 - suppressor of G2 allele of SKP1 (SUGT1, SGT1)"
5,"Sevir.5G083400",6652033,6655762,"(1 of 1) PTHR10315//PTHR10315:SF40 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G085400",6847970,6850236,"(1 of 1) PTHR10641//PTHR10641:SF510 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED"
5,"Sevir.5G081400",6466592,6469644,"(1 of 4) KOG1271 - Methyltransferases"
5,"Sevir.5G092850",7500883,7501511,"No gene description."
5,"Sevir.5G093600",7565883,7572964,"(1 of 3) PF07714//PF13947//PF14380 - Protein tyrosine kinase (Pkinase_Tyr) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G077200",6171997,6177173,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G092600",7476515,7477437,"No gene description."
5,"Sevir.5G077600",6209609,6221427,"(1 of 4) PTHR23213:SF190 - FORMIN-LIKE PROTEIN 17-RELATED"
5,"Sevir.5G090500",7367841,7369440,"(1 of 4) PTHR10891//PTHR10891:SF590 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED"
5,"Sevir.5G085700",6866196,6868255,"(1 of 1) PTHR34543//PTHR34543:SF1 - FAMILY NOT NAMED // ABSCISIC ACID (ABA)-DEFICIENT 4 PROTEIN"
5,"Sevir.5G084300",6746701,6751142,"(1 of 3) 1.3.3.5 - Bilirubin oxidase"
5,"Sevir.5G094200",7627550,7631666,"(1 of 1) PTHR10165//PTHR10165:SF80 - LIPID PHOSPHATE PHOSPHATASE // LIPID PHOSPHATE PHOSPHATASE 1-RELATED"
5,"Sevir.5G091500",7404048,7405640,"(1 of 7) PF13947//PF14380 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
